机构原始名称,总频次,当前机构译名,当前机构标准名,当前映射方法,当前判定机构类型,当前判定依据,是否通过有效机构过滤,风险说明,建议处理,处理备注
Department of Petroleum Engineering,32,系石油工程,系石油工程,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
GRI,31,格拉伊,格拉伊,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Nucl Mat Author,31,恩乌克勒材料奥斯奥尔,恩乌克勒材料奥斯奥尔,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Yanshan Branch,30,伊阿恩什阿恩分院,伊阿恩什阿恩分院,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
UNL CONICET,28,乌恩勒克奥恩伊克埃特,乌恩勒克奥恩伊克埃特,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Brazilian Ctr Res Energy & Mat CNPEM,26,布拉阿兹伊勒亚恩中心研究能源材料克恩普埃姆,布拉阿兹伊勒亚恩中心研究能源材料克恩普埃姆,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
German Aerosp Ctr,26,格埃尔姆阿恩航空航天中心,格埃尔姆阿恩航空航天中心,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Spallat Neutron Source Sci Ctr,26,斯普阿勒勒阿特恩埃乌特拉奥恩斯欧尔克埃科学中心,斯普阿勒勒阿特恩埃乌特拉奥恩斯欧尔克埃科学中心,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Zhejiang Prov Innovat Ctr Adv Text Technol,26,浙江省创新中心先进特埃克斯特技术,浙江省创新中心先进特埃克斯特技术,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Coinnovat Ctr Chem & Chem Engn Tianjin,24,克欧伊恩恩奥维阿特中心化工化工工程天津,克欧伊恩恩奥维阿特中心化工化工工程天津,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Natl Energy Shale Gas R&D Expt Ctr,24,国家能源什阿勒埃天然气尔德埃克斯普特中心,国家能源什阿勒埃天然气尔德埃克斯普特中心,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Ctr High Pressure Sci & Technol Adv Res,23,中心赫伊格普拉埃斯斯乌尔埃科学技术先进研究,中心赫伊格普拉埃斯斯乌尔埃科学技术先进研究,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Petro Bio Oil Consulting,21,普埃特拉奥布约石油咨询,普埃特拉奥布约石油咨询,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Qingdao Ctr Resource Chem & New Mat,21,青岛中心资源化工恩埃瓦材料,青岛中心资源化工恩埃瓦材料,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Shengli Branch,21,什埃恩勒伊分院,什埃恩勒伊分院,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
MOE,20,姆奥埃,姆奥埃,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
